DatTime,MediaTime,LonAccel,LatAccel,Throttle,Brake,Gear,Heading,HeadwayDistance,HeadwayTime,Lane,LaneOffset,RoadOffset,Steer,Velocity,XPos,YPos,LeadVehPosX,LeadVehPosY,FollowCarBrakingStatus
1.424,2.033331,-3.5000000000000004e-06,0.000498,1.308809,0.0,0,359.9993165,91.042542,267299.4261555,2.0,0.021679,5.421679,-0.005929,-0.00012649999999999998,-741.042542,14.521677,2.310232,1629.744985,0.0
1.457,2.066665,-5e-06,0.00030250000000000003,1.308809,0.0,0,359.999319,91.0425725,10000.0,2.0,0.021679,5.421679,-0.005929,-0.0005165,-741.0425725,14.521677,2.310232,1629.744985,0.0
1.49,2.099998,-3.5e-06,0.000172,1.308809,0.0,0,359.999322,91.042603,10000.0,2.0,0.021679,5.421679,-0.005929,-0.0006655000000000001,-741.042603,14.521677,2.310232,1629.744985,0.0
1.524,2.133331,0.0,0.00015999999999999999,1.308809,0.0,0,359.999324,91.042603,10000.0,2.0,0.021679,5.421679,-0.005929,-0.000413,-741.042603,14.521677,2.310232,1629.744985,0.0
1.557,2.166664,3.5e-06,0.0001855,1.308809,0.0,0,359.999324,91.042603,317186.8542955,2.0,0.021679,5.421679,-0.005929,3.35e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
1.59,2.199998,4e-06,0.0001705,1.308809,0.0,0,359.9993215,91.042603,241518.9918045,2.0,0.021679,5.421679,-0.005929,0.0003855,-741.042603,14.521677,2.310232,1629.744985,0.0
1.6245,2.233331,1.5e-06,-1.999999999999998e-06,1.308809,0.0,0,359.9993185,91.042603,244208.4633685,2.0,0.021679,5.421679,-0.005929,0.000381,-741.042603,14.521677,2.310232,1629.744985,0.0
1.6575,2.266664,5e-07,-8.950000000000001e-05,1.308809,0.0,0,359.999318,91.042603,395868.139308,2.0,0.021679,5.421679,-0.005929,0.0002525,-741.042603,14.521677,2.310232,1629.744985,0.0
1.69,2.299998,-2.4999999999999998e-06,-0.0002605,1.308809,0.0,0,359.9993185,91.042603,3002955.1544685,2.0,0.021679,5.421679,-0.005929,-5.800000000000001e-05,-741.042603,14.521677,2.310232,1629.744985,0.0
1.7245,2.333331,-3e-06,-0.000365,1.22537,0.0,0,359.9993205,91.042603,10000.0,2.0,0.021679,5.421679,-0.005929,-0.00027,-741.042603,14.521677,2.310232,1629.744985,0.0
